trackID,acousticness,danceability,duration_ms,energy,instrumentalness,a_key,liveness,loudness,a_mode,speechiness,tempo,time_signature,valence,category
2ERoiswcZQdXztyYNODB4z,0.127000,0.530000,260933,0.768000,0.000006,5,0.238000,-4.178000,1,0.035400,143.902000,4,0.430000,country
6I1HRAkeErdwrOJIfRrfIO,0.015000,0.485000,186867,0.820000,0.000028,3,0.112000,-4.085000,1,0.049300,94.063000,4,0.248000,punk
1J3FZsDrB2bqXhnCTuXQ5t,0.000042,0.479000,180474,0.922000,0.000501,4,0.139000,-4.483000,1,0.135000,104.030000,4,0.495000,punk
3T39EhrrrHe9PD00GN37qJ,0.160000,0.491000,200787,0.866000,0.000211,11,0.130000,-4.431000,1,0.058300,175.969000,4,0.699000,punk
5KCDwXwhK7YTUMfB9vzpCX,0.000080,0.476000,271173,0.920000,0.000728,9,0.084800,-5.742000,1,0.067800,175.050000,4,0.572000,punk
40EHxlkXxnQEdFxIGOQp1g,0.119000,0.691000,181200,0.629000,0.000000,7,0.169000,-5.828000,1,0.027500,102.001000,4,0.619000,country
5lDriBxJd22IhOH9zTcFrV,0.000400,0.453000,193653,0.942000,0.000003,10,0.667000,-4.256000,1,0.046600,143.850000,4,0.459000,punk
3CgE17RAFHlLf6fSI9Pps9,0.000549,0.410000,258329,0.968000,0.000001,11,0.385000,-4.905000,1,0.063700,105.024000,4,0.461000,punk
5KqYQl3zLrV8vSKv7rNTSg,0.256000,0.423000,335623,0.496000,0.000003,0,0.165000,-6.611000,1,0.030700,135.944000,4,0.201000,country
0t5zXzcJjRZMpBPAqkbjdW,0.066300,0.536000,185107,0.833000,0.000000,6,0.151000,-6.050000,1,0.028200,143.972000,4,0.755000,country
0jqT4H8la78ThaljY77I0q,0.040800,0.752000,217138,0.563000,0.000000,4,0.110000,-6.170000,1,0.038700,125.913000,4,0.777000,country
5og1QS7phC7FDIZ2twpFWw,0.017100,0.684000,214720,0.631000,0.000019,2,0.066800,-5.985000,1,0.041900,156.005000,4,0.732000,country
5mHz2TAplOJaOvXBbLRY6q,0.001330,0.232000,268227,0.979000,0.001610,8,0.071900,-3.821000,1,0.123000,191.019000,4,0.254000,punk
4M3ILaJ7MnY8tPoD687ivv,0.350000,0.335000,216572,0.733000,0.000000,7,0.253000,-3.173000,1,0.038300,150.016000,3,0.157000,country
6QdzooXgbKzuKagjpw5Rg7,0.000132,0.484000,199000,0.885000,0.009350,4,0.201000,-6.034000,1,0.051000,120.026000,4,0.429000,punk
5hA94MZ5zWlj2odgnGnJTy,0.000078,0.165000,284493,0.916000,0.009550,9,0.143000,-3.209000,0,0.054000,168.864000,4,0.079400,punk
2t1WKx8R6Bq7PTj7dWEEa1,0.000678,0.603000,196120,0.776000,0.000006,7,0.077800,-6.369000,1,0.033300,108.994000,4,0.489000,country
